seed,observer,phase,accuracy,balanced_accuracy,macro_f1,reward,tp,tn,fp,fn,active_hidden_units,active_embedding_units,retrieval_label_precision,combo00_accuracy,combo01_accuracy,combo10_accuracy,combo11_accuracy,retrieved_nodes,retrieved_edges,path_style_diversity,path_phase_diversity,retrieved_dream_fraction,mean_similarity,memory_p1,pathway_reuse_jaccard,pathway_union_active_units,I_param,I_external_memory,I_short_term,durable_no_short_accuracy,stripped_no_durable_accuracy,I_durable_joint,C_att,D_cue,N_sup,A_util,T_gain,I_ret_legacy,R_ret_legacy,U_adapt,Q_proc_legacy,P_chain_legacy,OWGE_legacy,memory_records,memory_edges_directed,memory_dream_records,memory_dream_fraction,resource_cost,base_zero_lora_accuracy,dream_candidates,dream_valid,dream_00,dream_01,dream_10,dream_11,dream_validation_rate
12001,O3,A_after_C,1.0,1.0,1.0,1.0,189,211,0,0,30.0225,27.12,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.29700000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O3,B_after_C,0.616,0.616,0.6159016708277318,0.232,158,150,100,92,30.19,27.66,0.0,0.9357142857142857,0.18627450980392157,0.22413793103448276,0.9295774647887324,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.29700000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O4R,A,1.0,1.0,1.0,1.0,189,211,0,0,32.0,6.675,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.8888888955701417,0.3333333333333333,0.95,0.0,1.0,0.0,0.5,1.0,0.43459681775334724,0.007937013196843614,0.0034494006778145563,0.0,0.0,0.0,0.0,0.29700000000000004,0.765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O4R,B,0.744,0.744,0.7309794031105505,0.488,241,131,119,9,31.592,10.888,0.0,0.9357142857142857,0.8137254901960784,0.22413793103448276,0.9295774647887324,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.488,0.5,0.616,0.0,0.6579020871542437,0.3333333333333333,0.95,0.3279569892473118,0.0,0.0,0.744,0.744,0.2986689761697444,0.00821074087224858,0.002452293569909558,0.0,0.0,0.0,0.0,0.29700000000000004,0.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O4R,C,0.4925,0.49257696515080485,0.4925,-0.015,197,197,198,208,31.75375,28.46875,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.19965491742666996,0.0,0.0,0.49257696515080485,0.49257696515080485,0.0,0.5557675468651682,0.3333333333333333,0.95,0.0,0.19762845849802368,0.0,0.5,0.4925,0.26367765824933204,0.006267956828303459,0.0016527201784949665,0.0,0.0,0.0,0.0,0.29700000000000004,0.3675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O4R,C_style_shift,0.50125,0.5010255191690793,0.5010246814577207,0.0025,209,192,199,200,31.8725,25.32375,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.29700000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O4R,A_after_C,1.0,1.0,1.0,1.0,189,211,0,0,31.895,25.0225,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.29700000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O4R,B_after_C,0.616,0.616,0.6159016708277318,0.232,158,150,100,92,31.9,25.58,0.0,0.9357142857142857,0.18627450980392157,0.22413793103448276,0.9295774647887324,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.29700000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O4M,A,1.0,1.0,1.0,1.0,189,211,0,0,29.03,7.41,1.0,1.0,1.0,1.0,1.0,6.57,6.0,1.0,1.0,0.0,0.9549472407996654,0.4736,0.48713054187192123,14.0625,1.0,0.0,0.0,1.0,1.0,0.0,0.8888888955701417,0.3333333333333333,0.95,0.0,1.0,0.0,0.5,1.0,0.352812350402761,0.007937013196843614,0.0028002762811561274,256.0,2048.0,0.0,0.0,0.6970000000000001,0.765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12001,O4M,B,0.744,0.744,0.7309794031105505,0.488,241,131,119,9,31.492,9.684,0.7028,0.9357142857142857,0.8137254901960784,0.22413793103448276,0.9295774647887324,6.342,6.0,1.0,1.612,0.0,0.9605331280231476,0.5782747895103127,0.4990467980295566,15.26,0.0,0.488,0.0,0.744,0.616,0.3333333333333333,0.6579020871542437,0.3333333333333333,0.95,0.0,0.0,0.3333333333333333,0.5,0.744,0.20238840837147862,0.498664149744273,0.10092384357866008,256.0,2048.0,0.0,0.0,0.6970000000000001,0.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
