seed,phase,H_y,I_c_y,I_p_y,I_p_y_given_c,H_combo,combo_coverage
12319,C,0.999779076044731,0.0009092964710728096,0.000571053099323841,0.9988697795736582,1.9983241917323824,1.0
12372,A,0.9999278640456615,0.9999278640456615,0.000653780264259397,0.0,1.9992019478270637,1.0
12372,B,0.9999884584088952,0.049647498349806696,0.4105401174538668,0.38933767063349084,1.9721883764547963,1.0
12372,C,0.9996347869992872,0.0018342016618510433,0.00025100465992997263,0.9978005853374361,1.997579661382167,1.0
12425,A,0.9998376907209825,0.9998376907209825,0.007370443964550062,0.0,1.99028406904366,1.0
12425,B,0.9990649315776107,0.051006020455048276,0.40482325864117075,0.3802993095181628,1.974810151467603,1.0
12425,C,0.9989853671667237,0.0015195397488286487,0.0004235306249349008,0.9974658274178951,1.9971006144171826,1.0
12478,A,0.9999819662368479,0.9999819662368479,1.0201589221482416e-07,0.0,1.9959204718525512,1.0
12478,B,0.9980485963165613,0.0755115086047231,0.3643938355531944,0.3358783976510642,1.9602481735316495,1.0
12478,C,0.999779076044731,0.00037991403213843977,0.0004655902061771796,0.9993991620125926,1.9989482728378412,1.0
12531,A,0.9999278640456615,0.9999278640456615,0.0018644416344482419,0.0,1.99452592729609,1.0
12531,B,0.9997114417528099,0.050590656923372584,0.4404803326399266,0.40895870746603324,1.9556638479861232,1.0
12531,C,0.9994544121587243,0.000509051962761943,0.0008472953345109654,0.9989453601959624,1.9980615289829373,1.0
12584,A,0.9947819701586453,0.9947819701586451,0.004227350786761952,0.0,1.9890933972472769,1.0
12584,B,0.9986030202378096,0.05000724163556758,0.41964424673556533,0.39365238174603817,1.967398670380337,1.0
12584,C,0.9985387778753936,7.448674123574067e-05,0.0019509017033332299,0.9984642911341579,1.9964751626866368,1.0
12637,A,0.9997114417528099,0.9997114417528099,0.0003004604833341156,0.0,1.999122423022286,1.0
12637,B,0.9980485963165613,0.07030706926742163,0.31417500196109993,0.30349921169907235,1.9773628356540982,1.0
12637,C,0.9988455359952018,0.001066228616463093,0.0004168087838997067,0.9977793073787387,1.9974140943780259,1.0
12690,A,0.9997114417528099,0.9997114417528099,0.008018612674072001,0.0,1.9915305197997206,1.0
12690,B,0.9998961234639354,0.062326034709417,0.39652767489718826,0.3521065379236067,1.949348504501628,1.0
12690,C,0.9985387778753936,0.0005422323777189587,1.1529631422516951e-06,0.9979965454976746,1.9979920370709756,1.0
12743,A,0.9993506898146103,0.9993506898146105,9.638285087246309e-06,0.0,1.997879829404917,1.0
12743,B,0.999953833266239,0.09808428241446203,0.3854166734773914,0.3187943831405078,1.9224978322637352,1.0
12743,C,0.9999594238215683,0.0011534526916398419,3.4971135406490885e-06,0.9988059711299284,1.9988014627032293,1.0
12796,A,0.9953784388202257,0.9953784388202258,0.0010390063997143192,0.0,1.9934556012074867,1.0
12796,B,0.9990649315776107,0.05383923354047515,0.39941122695994014,0.3777494264755698,1.975223677617652,1.0
12796,C,0.9988455359952018,0.0005889213492704902,0.007418847860800833,0.9982566146459313,1.9906646306289784,1.0
12849,A,0.9991161687869752,0.9991161687869751,0.005705659879359771,0.0,1.9925266776945907,1.0
12849,B,0.9998153271549207,0.07896934292285507,0.42688075626397326,0.3821444693548567,1.954873087974637,1.0
12849,C,0.9997114417528099,0.000662785857729541,0.0001757849513573063,0.9990486558950803,1.998886346616063,1.0
12902,A,0.9999278640456615,0.9999278640456615,0.0017675469408897047,0.0,1.9955619056725116,1.0
12902,B,0.9990649315776107,0.048986110023795076,0.39463189971335233,0.3673158689200105,1.971015230099979,1.0
12902,C,0.9999819662368479,0.001157500715561659,7.517266510195146e-05,0.9988244655212861,1.9987523295669476,1.0
12955,A,0.9999278640456615,0.9999278640456615,7.071447538741296e-05,0.0,1.9997850136159356,1.0
12955,B,0.999953833266239,0.043356338054279214,0.4440092145266913,0.432084562399498,1.9830235698791006,1.0
12955,C,1.0,0.0007628639910796133,0.0007628639910796133,0.9992371360089203,1.998475078503498,1.0
13008,A,0.9978168222872277,0.9978168222872276,0.00387478018773562,0.0,1.99175886438672,1.0
13008,B,0.9990649315776107,0.0907335191337057,0.4312860443246854,0.36802759372956395,1.928960765670701,1.0
13008,C,0.9967108600082835,0.007699229270444391,0.0017770097381320377,0.9890116307378389,1.9877083042579595,1.0
13061,A,0.9991161687869752,0.9991161687869751,3.7538927615418877e-06,0.0,1.9960625719012093,1.0
13061,B,0.9958294764724046,0.09074230428029645,0.4796536715978218,0.43235180711043425,1.9430561135974642,1.0
13061,C,0.9985387778753936,0.002603699822300236,5.2883900398769095e-06,0.9959350780530932,1.9959350780530931,1.0
13114,A,0.9974015885677396,0.9974015885677394,0.0004858152460643205,0.0,1.996753464042658,1.0
13114,B,0.9994343896240241,0.0469829514248484,0.3855019626169756,0.351445760168878,1.9603366427164084,1.0
13114,C,0.9986966735201206,5.040639315459679e-05,0.00029838846191292557,0.998646267126966,1.998357708879776,1.0
13167,A,0.9991161687869752,0.9991161687869751,0.001697558317635104,0.0,1.9959573883447335,1.0
13167,B,0.9992612140227841,0.045627616169074,0.4067272907649414,0.372362200408301,1.9468234429480809,1.0
13167,C,0.9998872865145765,0.0014718651575327292,0.00012335651834988973,0.9984154213570435,1.99830270787162,1.0
13220,A,1.0,1.0,0.005898937101980896,0.0,1.9882502343789121,1.0
13220,B,0.9998961234639354,0.04207026266563481,0.40032155395291924,0.37015608261513394,1.966051039024995,1.0
13220,C,0.9999954915733009,0.0008814419153004068,0.00036282370298843306,0.9991140496580004,1.9987488366572876,1.0
13273,A,0.9991161687869752,0.9991161687869751,0.0008673757257001528,0.0,1.9981766571069366,1.0
13273,B,0.9988455359952018,0.04544751388603571,0.44019983555290243,0.41453663086376635,1.9724307973329482,1.0
13273,C,0.9956630588951154,0.0014826541843889172,0.0005038114507731322,0.9941804047107267,1.9935310945253368,1.0
13326,A,0.9995491108252483,0.9995491108252483,0.0001518227708893708,0.0,1.999108729807169,1.0
13326,B,0.9974015885677396,0.08072222416995603,0.3777850662121818,0.34816620600142933,1.954611485837252,1.0
13326,C,0.9978168222872277,0.006293923443241228,0.00022577537311560623,0.9915228988439867,1.9914101853585628,1.0
13379,A,0.99819587904281,0.99819587904281,0.0023587958537881933,0.0,1.9932386717567614,1.0
13379,B,0.999953833266239,0.05744037181829015,0.43183245401471737,0.40340887182078133,1.9693524995996783,1.0
13379,C,0.9995491108252483,0.00017349029481675965,0.0002997392629893068,0.9993756205304317,1.9990870622832415,1.0
13432,A,0.9999819662368479,0.9999819662368479,0.001496994752638866,0.0,1.9938634103044346,1.0
13432,B,0.9997114417528099,0.08374158122062739,0.4343578347475311,0.3860087786500814,1.9489475261180258,1.0
13432,C,0.999779076044731,0.00012941129180608565,0.0018208187635724848,0.9996496647529248,1.997845543795735,1.0
13485,A,0.9999819662368479,0.9999819662368479,0.012207459686673063,0.0,1.98689067533715,1.0
13485,B,0.9988455359952018,0.10493219564787064,0.46480586656368034,0.42452208338533015,1.9532743538794646,1.0
13485,C,0.9992379424945775,0.00014107056753088001,0.0014895792067139008,0.9990968719270465,1.9976356498024401,1.0
13538,A,0.9993506898146103,0.9993506898146105,0.00042487671825343354,0.0,1.9984749239216053,1.0
13538,B,0.9994343896240241,0.07977898288491589,0.4311599263590179,0.3790299392209316,1.9420193749845778,1.0
13538,C,0.9999278640456615,4.598722453285362e-05,0.0016335639651064507,0.9998818768211286,1.9982537239021232,1.0
13591,A,0.9999819662368479,0.9999819662368479,0.00017081501418733398,0.0,1.996273656107537,1.0
13591,B,0.9995844639313985,0.04769497547558689,0.5370109351805161,0.5344968945646742,1.9813584942480866,1.0
13591,C,0.998010871552479,3.6076808029441654e-06,0.0013069341606823468,0.9980072638716762,1.9967039373917967,1.0
13644,A,0.9953784388202257,0.9953784388202258,0.0008693155437856145,0.0,1.994491089513288,1.0
13644,B,0.999953833266239,0.0330633654406661,0.4321719672686952,0.41306710669014624,1.9755541805852788,1.0
13644,C,0.9999819662368479,0.0014506017655350027,0.0011438436457266443,0.9985313644713129,1.9973769004665147,1.0
13697,A,0.9993506898146103,0.9993506898146105,0.0003444077170161779,0.0,1.9964078706653337,1.0
13697,B,0.9986030202378096,0.06708039301109676,0.41975594924322074,0.39340285896842675,1.969546342367598,1.0
13697,C,0.9971803988942642,0.00033204493430726185,0.0004086996878299165,0.9968483539599569,1.9964831409592443,1.0
13750,A,0.9995491108252483,0.9995491108252483,0.0073261552221968035,0.0,1.9917720664283003,1.0
13750,B,0.999953833266239,0.06102473334896652,0.506892161271453,0.46706911549095986,1.9517587288453155,1.0
13750,C,0.9989853671667237,0.000737087913704304,0.00013733968729939122,0.9982482792530194,1.998085969974002,1.0
13803,A,0.9999819662368479,0.9999819662368479,1.8398549348219023e-05,0.0,1.999891431733161,1.0
13803,B,0.9999884584088952,0.07740547138229668,0.45944057068874056,0.42497704104036294,1.9597762387713016,1.0
13803,C,0.9997114417528099,0.004011300204871941,0.0004007970112188796,0.9957001415479381,1.9952492523731866,1.0
13856,A,0.9999278640456615,0.9999278640456615,1.4329260000311202e-05,0.0,1.9977303570728888,1.0
13856,B,0.9977366703420345,0.09981993793981749,0.49358118147878094,0.424970241941806,1.9239019041203689,1.0
13856,C,0.9999278640456615,0.0011635290408681508,0.00017137431508742595,0.9987643350047933,1.998602025725776,1.0
13909,A,0.9998376907209825,0.9998376907209825,0.0007361010714151944,0.0,1.989540629306996,1.0
13909,B,0.9988455359952018,0.1056863075721026,0.4422000192121626,0.37857411501231036,1.9170189439926792,1.0
13909,C,0.9999278640456615,0.0001645139377055441,7.434061302646639e-05,0.9997633501079559,1.9996912141536176,1.0
13962,A,0.9999819662368479,0.9999819662368479,0.0006504261796319646,0.0,1.999313506294064,1.0
13962,B,0.9933418121880535,0.06441080300549339,0.464020814530817,0.4372006106695187,1.9587782521618937,1.0
13962,C,0.9999954915733009,4.5995352595346e-06,7.2227062898863e-05,0.9999908920380416,1.999918756083703,1.0
14015,A,0.9995491108252483,0.9995491108252483,0.0039388908362998215,0.0,1.9938060990317585,1.0
14015,B,0.9986030202378096,0.06708039301109676,0.487046084297175,0.4527793901978095,1.9627045036125423,1.0
14015,C,0.9999954915733009,0.0011615320379673808,0.001021700866445428,0.9988339595353335,1.9978193267020572,1.0
14068,A,0.9997114417528099,0.9997114417528099,0.002549874660895509,0.0,1.996512256906525,1.0
14068,B,0.9974015885677396,0.06148249141203882,0.380251434459831,0.3629424489258587,1.977692273690181,1.0
14068,C,0.9999278640456615,3.768728746588769e-05,0.0005426989503099743,0.9998901767581956,1.9993445889169197,1.0
