seed,observer,phase,embed_lora_norm,embed_effective_rank,embed_significant_sv,embed_changed_fraction,embed_positive_fraction,embed_negative_fraction,policy_lora_norm,policy_effective_rank,policy_significant_sv,policy_changed_fraction,policy_positive_fraction,policy_negative_fraction,total_lora_norm
12584,O4M,C,2.5589067935943604,1.855197548866272,2.0,0.8759765625,0.4453125,0.4306640625,1.4684587717056274,1.0000011920928955,1.0,1.0,0.5,0.5,2.9503178036446465
12584,O4D,A,1.3550719022750854,1.5920381546020508,2.0,0.8623046875,0.419921875,0.4423828125,0.38550812005996704,1.0000033378601074,1.0,0.96875,0.484375,0.484375,1.4088422093930848
12584,O4D,B,2.6310203075408936,1.577629566192627,2.0,0.5556640625,0.2763671875,0.279296875,1.1506189107894897,1.000001311302185,1.0,1.0,0.5,0.5,2.8716183131744666
12584,O4D,C,2.512335777282715,1.8707232475280762,2.0,0.8583984375,0.435546875,0.4228515625,1.4301013946533203,1.0000011920928955,1.0,0.96875,0.484375,0.484375,2.890851268537369
12637,O1,A,2.3774707317352295,1.4824304580688477,2.0,0.9443359375,0.4775390625,0.466796875,1.0044071674346924,1.000349760055542,1.0,1.0,0.5,0.5,2.5809302273118173
12637,O1,B,19.14325523376465,1.0961108207702637,1.0,0.8515625,0.4296875,0.421875,1.15418541431427,1.0014722347259521,1.0,0.96875,0.484375,0.484375,19.178017752512208
12637,O1,C,15.572257995605469,1.1112991571426392,1.0,0.896484375,0.447265625,0.44921875,1.4514191150665283,1.001592993736267,1.0,1.0,0.5,0.5,15.639751805232683
12637,O3,A,1.6253840923309326,1.5252068042755127,2.0,0.9091796875,0.4521484375,0.45703125,0.3219951093196869,1.000000238418579,1.0,0.875,0.4375,0.4375,1.6569714234193198
12637,O3,B,2.5457515716552734,1.6300137042999268,2.0,0.619140625,0.302734375,0.31640625,1.165549874305725,1.0000007152557373,1.0,0.96875,0.484375,0.484375,2.799885278735432
12637,O3,C,2.5482234954833984,2.312363624572754,3.0,0.677734375,0.3330078125,0.3447265625,0.4013174772262573,1.0000015497207642,1.0,0.96875,0.484375,0.484375,2.5796315047814247
12637,O4R,A,1.607020378112793,1.526768684387207,2.0,0.912109375,0.453125,0.458984375,0.32205235958099365,1.0000015497207642,1.0,0.875,0.4375,0.4375,1.638972915572881
12637,O4R,B,2.5074243545532227,1.5977052450180054,2.0,0.5908203125,0.291015625,0.2998046875,1.2009527683258057,1.0000007152557373,1.0,0.96875,0.484375,0.484375,2.78019144045083
12637,O4R,C,2.9843642711639404,2.2636003494262695,3.0,0.8125,0.4169921875,0.3955078125,0.639107882976532,1.0000007152557373,1.0,0.9375,0.46875,0.46875,3.052030306055728
